Designator,Mid X,Mid Y,Rotation,Layer
BT1,143.256,-92.456,-90.0,bottom
C2,136.652,-105.537,180.0,bottom
C3,164.973,-100.838,180.0,bottom
C4,158.4575,-104.648,180.0,bottom
C6,158.496,-97.282,0.0,bottom
D1,158.623,-100.965,180.0,bottom
D2,164.973,-104.521,180.0,bottom
IC1,143.129,-116.332,180.0,bottom
J1,159.258,-74.93,-90.0,top
J2,165.633,-76.733,0.0,top
J3,150.988,-128.218,0.0,top
LS1,159.01625,-81.28,180.0,bottom
R1,136.652,-112.776,180.0,bottom
R10,164.973,-112.522,180.0,bottom
R11,158.608,-116.332,180.0,bottom
R12,164.973,-108.712,180.0,bottom
R13,136.652,-120.396,180.0,bottom
R14,142.748,-124.206,0.0,bottom
R15,134.6708,-91.8972,90.0,top
R16,164.973,-97.282,0.0,bottom
R2,158.608,-108.712,180.0,bottom
R3,164.958,-123.952,180.0,bottom
R4,136.626,-116.586,180.0,bottom
R5,158.56062,-123.952,180.0,bottom
R6,158.608,-112.522,180.0,bottom
R7,136.652,-108.839,180.0,bottom
R8,164.958,-116.332,180.0,bottom
R9,142.748,-120.396,180.0,bottom
S1,161.783,-109.168,0.0,top
S2,140.185063,-105.604063,90.0,top
S3,150.988,-117.856,180.0,top
S4,159.131,-91.44,180.0,bottom
U1,150.988,-108.204,0.0,top
U2,150.988,-108.204,90.0,top
